species_name,total_trade_records,total_quantity,num_importers,num_exporters,num_trade_years,avg_quantity_per_trade,trade_diversity,trade_intensity,log_total_quantity,log_trade_records,pathogen_network_degree,avg_neighbor_degree,clustering_coefficient,max_degree_variant,is_pathogen_hub,is_high_risk_reservoir,normalized_degree,high_risk_label
Tomistoma schlegelii,161,1381.0,30,18,45,8.577639751552795,540,8.577639751552795,7.231287004327616,5.087596335232384,0,0.0,0.0,0,0,0,0.0,0
Ursus maritimus,24730,176446.875,118,77,50,7.134932268499798,9086,7.134932268499798,12.080780785959206,10.115812796414458,901,506.9433962264151,0.5018769268713775,901,1,1,0.6034829202947086,1
Varanus bengalensis,137,1162880.0,30,22,26,8488.175182481751,660,8488.175182481751,13.966411104683477,4.927253685157205,0,0.0,0.0,0,0,0,0.0,0
Varanus exanthematicus,19504,5772038.8395,117,82,49,295.94128586443804,9594,295.94128586443804,15.568536101052356,9.878426121940757,0,0.0,0.0,0,0,0,0.0,0
Varanus flavescens,112,1078868.8395,21,12,20,9632.757495535714,252,9632.757495535714,13.891424606287254,4.727387818712341,0,0.0,0.0,0,0,0,0.0,0
Varanus griseus,123,138782.0,35,31,35,1128.3089430894308,1085,1128.3089430894308,11.840666841167584,4.820281565605037,0,0.0,0.0,0,0,0,0.0,0
Varanus niloticus,387625,91382917.01390685,213,149,50,235.75083396041754,31737,235.75083396041754,18.330569126330936,12.867796236212387,0,0.0,0.0,0,0,0,0.0,0
Varanus rudicollis,6133,56065.0,51,25,48,9.141529430947335,1275,9.141529430947335,10.93428484717576,8.721602344674197,0,0.0,0.0,0,0,0,0.0,0
Varanus salvator,521435,131073655.33436698,209,117,50,251.37103442301913,24453,251.37103442301913,18.691269985249725,13.164341822977223,0,0.0,0.0,0,0,0,0.0,0
Varecia variegata,1283,11956.58,69,44,49,9.319236165237724,3036,9.319236165237724,9.389120665893769,7.157735484249907,83,444.0,1.0,83,0,0,0.055592766242464835,1
Acinonyx jubatus,9254,118898.494,124,92,49,12.848335206397234,11408,12.848335206397234,11.686033826992778,9.132919225007598,866,494.32217090069287,0.4862326289230934,866,1,1,0.580040187541862,1
Acipenser oxyrinchus,410,3767799.931,26,13,33,9189.755929268293,338,9189.755929268293,15.142002081807176,6.018593214496234,0,0.0,0.0,0,0,0,0.0,0
Addax nasomaculatus,972,5549.0,71,38,48,5.708847736625515,2698,5.708847736625515,8.62155320674048,6.880384082186005,65,624.1538461538462,1.0,65,0,0,0.043536503683858,1
Alligator sinensis,241,1563.0,29,26,41,6.485477178423237,754,6.485477178423237,7.355001921105257,5.488937726156687,525,647.3180952380952,1.0,525,0,1,0.35164099129269927,1
Alligatoridae spp.,1611,368743.208,32,54,46,228.8908801986344,1728,228.8908801986344,12.817858479394165,7.385230923066573,0,0.0,0.0,0,0,0,0.0,0
Amazona vinacea,491,1240.0,51,30,43,2.525458248472505,1530,2.525458248472505,7.123672785204607,6.198478716492308,321,521.417445482866,0.8412772585669782,321,0,0,0.21500334896182183,1
Ambystoma mexicanum,1178,314716.814,51,30,47,267.16198132427843,1530,267.16198132427843,12.65943168774213,7.072421900537371,0,0.0,0.0,0,0,0,0.0,0
Antigone vipio,649,1688.0,52,24,48,2.600924499229584,1248,2.600924499229584,7.4318919168078,6.476972362889683,525,647.3180952380952,1.0,525,0,1,0.35164099129269927,1
Arctocephalus australis,1089,55828.1792,70,47,47,51.26554563820018,3290,51.26554563820018,10.930051936423094,6.993932975223189,526,646.1330798479088,0.9962773854789064,526,0,1,0.3523107836570663,1
Argusianus argus,542,11168.015,51,29,48,20.60519372693727,1479,20.60519372693727,9.320898705542879,6.297109319933935,0,0.0,0.0,0,0,0,0.0,0
Asarcornis scutulata,157,616.0,20,13,35,3.9235668789808917,260,3.9235668789808917,6.424869023905388,5.062595033026967,0,0.0,0.0,0,0,0,0.0,0
Astrochelys radiata,691,20447.57,48,42,46,29.591273516642545,2016,29.591273516642545,9.9256682323756,6.539585955617669,0,0.0,0.0,0,0,0,0.0,0
Ateles geoffroyi,470,5097.514,49,29,48,10.845774468085107,1421,10.845774468085107,8.53670440370617,6.154858094016418,308,371.5097402597403,0.390181479758027,308,0,0,0.20629604822505024,1
Balearica regulorum,1395,19113.0,100,54,49,13.701075268817204,5400,13.701075268817204,9.858176329826126,7.241366283322318,112,503.51785714285717,1.0,112,0,0,0.07501674480910918,1
Branta sandvicensis,417,1984.0,68,23,47,4.757793764988009,1564,4.757793764988009,7.59337419312129,6.035481432524756,0,0.0,0.0,0,0,0,0.0,0
Caiman latirostris,3735,391288.785,78,37,43,104.76272690763051,2886,104.76272690763051,12.877203702567696,8.225770799348734,525,647.3180952380952,1.0,525,0,1,0.35164099129269927,1
Camelus bactrianus,19,60.0,6,7,5,3.1578947368421053,42,3.1578947368421053,4.110873864173311,2.995732273553991,1024,458.0888671875,0.4021471010508309,1024,1,1,0.6858673811118553,1
Caracal caracal,23166,50389.7,143,78,49,2.1751575584908918,11154,2.1751575584908918,10.827561913223324,10.05048413127047,293,419.77474402730377,0.8042451727523493,293,0,0,0.19624916275954454,1
Carduelis cucullata,314,8640.0,46,18,42,27.515923566878982,828,27.515923566878982,9.0642735958414,5.752572638825633,0,0.0,0.0,0,0,0,0.0,0
Caretta caretta,1587,81568.731,49,110,47,51.398066162570885,5390,51.398066162570885,11.309213528508142,7.370230641807081,0,0.0,0.0,0,0,0,0.0,0
Catopuma temminckii,182,482.0,33,29,39,2.6483516483516483,957,2.6483516483516483,6.180016653652572,5.209486152841421,0,0.0,0.0,0,0,0,0.0,0
Cebus capucinus,572,14211.33333334,54,44,47,24.844988345,2376,24.844988345,9.561865411224158,6.35088571671474,62,432.2741935483871,1.0,62,0,0,0.041527126590756865,1
Ceratotherium simum,12453,60735.217,114,67,49,4.8771554645466955,7638,4.8771554645466955,11.01429545480305,9.429797135432397,224,351.79910714285717,0.43245515695067266,224,0,0,0.15003348961821836,1
Cercopithecus diana,203,1378.56,36,26,41,6.790935960591133,936,6.790935960591133,7.229519886731076,5.318119993844216,140,230.5142857142857,0.7006166495375128,140,0,0,0.09377093101138648,1
Cetacea spp.,4550,2365950.077776,59,105,46,519.9890280826373,6195,519.9890280826373,14.67669064611988,8.423102268016642,0,0.0,0.0,0,0,0,0.0,0
Cheirogaleus medius,133,3889.3,18,14,39,29.242857142857144,252,29.242857142857144,8.266241554461457,4.897839799950911,0,0.0,0.0,0,0,0,0.0,0
Cheloniidae spp.,28304,186541.212326674,88,172,48,6.590630735114259,15136,6.590630735114259,12.136412832008286,10.25079374647076,0,0.0,0.0,0,0,0,0.0,0
Chilabothrus inornatus,63,298.0,14,10,20,4.73015873015873,140,4.73015873015873,5.700443573390687,4.1588830833596715,0,0.0,0.0,0,0,0,0.0,0
Chilabothrus subflavus,199,887.5,23,12,34,4.459798994974874,276,4.459798994974874,6.789534647594706,5.298317366548036,0,0.0,0.0,0,0,0,0.0,0
Chrysocyon brachyurus,510,4353.0,50,31,47,8.535294117647059,1550,8.535294117647059,8.378850241794492,6.236369590203704,293,419.77474402730377,0.8042451727523493,293,0,0,0.19624916275954454,1
Coscoroba coscoroba,249,4663.0,47,27,46,18.72690763052209,1269,18.72690763052209,8.447628728030327,5.521460917862246,525,647.3180952380952,1.0,525,0,1,0.35164099129269927,1
Crocodylus acutus,3989,350599.43,86,54,49,87.89155928804212,4644,87.89155928804212,12.767402477937429,8.29154650988391,0,0.0,0.0,0,0,0,0.0,0
Crocodylus johnstoni,1061,63295.6,45,24,48,59.65655042412818,1080,59.65655042412818,11.055586894209448,6.967909201801884,0,0.0,0.0,0,0,0,0.0,0
Crocodylus porosus,319680,11964396.843531985,188,100,49,37.426166302339794,18800,37.426166302339794,16.297445951566925,12.675078902565561,268,569.955223880597,1.0,268,0,0,0.17950435365036838,1
Crossoptilon crossoptilon,501,1691.0,60,24,46,3.375249500998004,1440,3.375249500998004,7.433666540166168,6.218600119691729,0,0.0,0.0,0,0,0,0.0,0
Crossoptilon mantchuricum,327,1126.0,61,23,43,3.4434250764525993,1403,3.4434250764525993,7.027314514039777,5.793013608384144,0,0.0,0.0,0,0,0,0.0,0
Cyanoramphus novaezelandiae,2272,75905.0,108,45,49,33.408890845070424,4860,33.408890845070424,11.237251011642725,7.728855823852543,274,543.8284671532847,1.0,274,0,0,0.18352310783657066,1
Cyclagras gigas,285,3222.0,34,27,46,11.305263157894737,918,11.305263157894737,8.078067881815437,5.655991810819852,0,0.0,0.0,0,0,0,0.0,0
Cygnus melancoryphus,1191,8144.0,94,33,48,6.837951301427372,3102,6.837951301427372,9.005159521036145,7.083387847625295,651,579.6175115207374,0.7790901571546733,651,0,1,0.43603482920294706,1
Damaliscus pygargus,9451,11787.0,86,27,49,1.2471696116813036,2322,1.2471696116813036,9.374837343857585,9.1539816383068,102,362.98039215686276,0.7542224810716366,102,0,0,0.06831882116543872,1
Diphyllodes magnificus,64,229.0,17,14,26,3.578125,238,3.578125,5.438079308923196,4.174387269895637,0,0.0,0.0,0,0,0,0.0,0
Elachistodon westermanni,7,973.0,5,4,4,139.0,20,139.0,6.881411303642535,2.0794415416798357,0,0.0,0.0,0,0,0,0.0,0
Epimachus meyeri,32,113.0,11,4,19,3.53125,44,3.53125,4.736198448394496,3.4965075614664802,0,0.0,0.0,0,0,0,0.0,0
Equus zebra,72698,141383.3,151,67,47,1.944803158271204,10117,1.944803158271204,11.859236993748217,11.194082908268824,0,0.0,0.0,0,0,0,0.0,0
Eretmochelys imbricata,10270,237282.978599893,109,156,49,23.104476981489093,17004,23.104476981489093,12.377012924762765,9.237079669165805,0,0.0,0.0,0,0,0,0.0,0
Eulemur mongoz,99,593.3,18,14,30,5.9929292929292926,252,5.9929292929292926,6.387384242372615,4.605170185988092,0,0.0,0.0,0,0,0,0.0,0
Falco cherrug,32397,103348.18,102,93,48,3.190054017347285,9486,3.190054017347285,11.545868630874278,10.385851971480083,651,579.6175115207374,0.7790901571546733,651,0,1,0.43603482920294706,1
Falco jugger,168,232.0,31,24,38,1.380952380952381,744,1.380952380952381,5.4510384535657,5.1298987149230735,0,0.0,0.0,0,0,0,0.0,0
Falco peregrinus,35475,70242.19,120,103,49,1.980047639182523,12360,1.980047639182523,11.159718642995276,10.476611690496343,803,537.1855541718555,0.6081247690238911,803,1,1,0.5378432685867381,1
Falco rusticolus,86802,124922.91,103,77,49,1.4391708716389024,7931,1.4391708716389024,11.735460110939199,11.371396462263164,651,579.6175115207374,0.7790901571546733,651,0,1,0.43603482920294706,1
Gallus sonneratii,767,448860.81,52,37,47,585.2161799217731,1924,585.2161799217731,13.014470346524107,6.643789733147672,0,0.0,0.0,0,0,0,0.0,0
Gazella dorcas,1018,7595.5,54,37,40,7.461198428290766,1998,7.461198428290766,8.93544289388382,6.926577033222725,25,435.84,1.0,25,0,0,0.016744809109176157,1
Geochelone elegans,2264,164401.2,67,51,48,72.61537102473498,3417,72.61537102473498,12.010071143509812,7.725330037917135,0,0.0,0.0,0,0,0,0.0,0
Goura cristata,538,2844.0,64,31,44,5.286245353159852,1984,5.286245353159852,7.953318346560431,6.289715570908998,274,543.8284671532847,1.0,274,0,0,0.18352310783657066,1
Grus monacha,76,374.0,12,13,22,4.921052631578948,156,4.921052631578948,5.926926025970411,4.343805421853684,651,579.6175115207374,0.7790901571546733,651,0,1,0.43603482920294706,0
Gypaetus barbatus,664,3488.5,39,42,47,5.253765060240964,1638,5.253765060240964,8.157513738457206,6.499787040655854,97,480.4226804123711,1.0,97,0,0,0.06496985934360348,1
Haliaeetus leucocephalus,5912,69226.33,61,53,48,11.709460419485792,3233,11.709460419485792,11.145151005833151,8.68490859582083,857,515.9614935822638,0.5488255051854437,857,1,1,0.5740120562625586,1
Hexaprotodon liberiensis,422,814.66,62,47,48,1.930473933649289,2914,1.930473933649289,6.703997601467765,6.0473721790462776,83,444.0,1.0,83,0,0,0.055592766242464835,1
Hyaena brunnea,101,179.0,19,11,21,1.7722772277227723,209,1.7722772277227723,5.19295685089021,4.624972813284271,0,0.0,0.0,0,0,0,0.0,0
